name,description,totalAmount,category,type,date
Netflix Subscription,Natural themselves care yeah foreign.,2069.76,Leisure and Entertainment,Income,2025-03-15
Bike Repair,Week employee significant international down not outside.,287.51,Transportation,Expense,2025-03-19
Fast Food,Wait owner three east certain.,120.86,Food and Dining,Expense,2025-01-05
Gas,Yourself I seven national when.,15.63,Transportation,Expense,2025-03-02
Bike Repair,Turn air mention minute.,401.48,Transportation,Expense,2025-03-09
Water Bill,Billion item dog make American ground.,211.98,Living,Expense,2025-03-03
Grocery Refund,Significant possible anyone artist.,438.77,Food and Dining,Expense,2025-02-24
Online Course,Vote travel Mr trouble.,1481.05,Academic,Income,2025-03-16
Snacks,Green authority major write purpose.,1937.68,Food and Dining,Income,2025-02-06
Freelance Work,Fish relate field control give.,175.22,Academic,Income,2025-02-09
Tuition,Loss remain training.,279.95,Academic,Expense,2025-02-28
Train Ticket,System bit whether.,1196.95,Transportation,Income,2025-01-12
Netflix Subscription,Southern face deep.,428.89,Leisure and Entertainment,Expense,2025-03-24
Coffee,Heavy task support let response.,195.37,Living,Expense,2025-01-09
Utilities,Program foreign every.,55.58,Living,Expense,2025-02-15
Train Ticket,Listen weight choose.,46.58,Transportation,Expense,2025-03-26
Groceries,Response authority finish.,60.0,Living,Expense,2025-02-05
Scholarship,Draw hotel though.,1737.85,Academic,Income,2025-03-22
Rent,Generation people thus cost while.,498.85,Living,Expense,2025-03-19
Electric Bill,Political attack describe budget over morning.,126.25,Living,Expense,2025-01-12
Ride Share,Wife fund pass show beautiful experience.,2388.87,Transportation,Income,2025-03-31
Movie,Around according later shake government imagine.,2398.3,Leisure and Entertainment,Income,2025-02-08
Netflix Subscription,Parent myself anyone such study win.,93.99,Leisure and Entertainment,Expense,2025-02-12
Grocery Refund,Manage far accept art upon ready.,305.78,Food and Dining,Expense,2025-01-28
Netflix Subscription,Key adult operation.,860.51,Leisure and Entertainment,Income,2025-03-17
Gas,Give subject by agency.,376.56,Transportation,Expense,2025-01-05
Grocery Refund,Fight nice second they.,431.16,Food and Dining,Expense,2025-03-30
Freelance Work,Rise around often audience toward.,364.73,Academic,Expense,2025-02-17
Water Bill,Turn national else western dinner.,71.24,Living,Expense,2025-03-14
Books,Staff role fish avoid participant.,291.32,Academic,Expense,2025-03-15
Online Course,Yard PM shoulder.,290.61,Academic,Expense,2025-02-15
Books,Read cup degree.,74.92,Academic,Expense,2025-03-07
Scholarship,Require information food.,413.61,Academic,Expense,2025-02-14
Groceries,Thank agent agree.,333.45,Living,Expense,2025-03-04
Video Game,Tax girl center.,358.85,Leisure and Entertainment,Expense,2025-02-15
Restaurant,Better material move onto artist forward.,60.79,Food and Dining,Expense,2025-01-10
Fast Food,Impact fine table enter.,1166.5,Food and Dining,Income,2025-02-15
Video Game,Structure girl dream page campaign great.,180.55,Leisure and Entertainment,Expense,2025-03-18
Gym,Story rest choice dream send.,359.01,Leisure and Entertainment,Expense,2025-02-04
Snacks,Guess nearly pattern picture offer.,344.6,Food and Dining,Expense,2025-01-28
Snacks,Art trouble page south send.,14.77,Food and Dining,Expense,2025-02-24
Coffee,Sit myself full least.,327.18,Living,Expense,2025-03-27
Bus Fare,Not field believe.,1400.77,Transportation,Income,2025-03-09
Netflix Subscription,Father community particularly claim believe night.,271.49,Leisure and Entertainment,Expense,2025-01-12
Train Ticket,Suddenly event trial.,195.11,Transportation,Expense,2025-03-11
Coffee,Should democratic ten able so debate.,256.56,Living,Expense,2025-01-19
Groceries,Board modern discuss seek network.,342.78,Living,Expense,2025-02-17
Video Game,Six start community during.,153.28,Leisure and Entertainment,Expense,2025-01-30
Laundry,Size class too include blood.,62.86,Living,Expense,2025-03-04
Video Game,Town detail measure left door mention.,236.36,Leisure and Entertainment,Expense,2025-01-05
Cafeteria,Hold poor go current human direction other.,257.73,Food and Dining,Income,2025-03-29
Online Course,Heavy service question spend.,1340.23,Academic,Income,2025-03-19
Concert,Unit use ten challenge response.,1400.53,Leisure and Entertainment,Income,2025-02-25
Netflix Subscription,Institution issue officer.,399.39,Leisure and Entertainment,Expense,2025-03-22
Netflix Subscription,Adult order however record probably.,311.09,Leisure and Entertainment,Expense,2025-03-17
Gym,Prove pick walk hour audience.,292.06,Leisure and Entertainment,Expense,2025-02-05
Gym,Image contain everything.,354.43,Leisure and Entertainment,Expense,2025-02-12
Grocery Refund,Political reason they.,194.9,Food and Dining,Expense,2025-03-02
Gym,Leader similar actually Republican.,345.0,Leisure and Entertainment,Expense,2025-02-20
Laundry,According laugh land author support exactly.,284.37,Living,Expense,2025-01-18
Gas,Development experience somebody daughter might south serve.,393.58,Transportation,Expense,2025-03-10
Gym,Car positive ask.,416.8,Leisure and Entertainment,Expense,2025-02-05
Gas,Out best throughout your especially discover.,488.1,Transportation,Expense,2025-01-24
Movie,Key human college himself collection anything.,320.17,Leisure and Entertainment,Expense,2025-03-27
Fast Food,Themselves billion seem soon skill least.,78.08,Food and Dining,Expense,2025-03-30
Grocery Refund,Brother room scientist consumer.,460.27,Food and Dining,Expense,2025-03-05
Books,Discuss time even.,58.5,Academic,Expense,2025-01-12
Tuition,Career relate data since fight.,473.89,Academic,Expense,2025-02-14
Books,Impact student plan above whatever.,109.09,Academic,Expense,2025-02-01
Books,Movie north laugh season.,471.52,Academic,Expense,2025-02-26
Fast Food,Within direction detail start marriage world.,2890.05,Food and Dining,Income,2025-01-23
Movie,Eye around have he I large.,211.95,Leisure and Entertainment,Expense,2025-02-13
Train Ticket,Leg within culture music loss.,81.18,Transportation,Expense,2025-02-14
Bike Repair,Level nice man conference.,75.24,Transportation,Expense,2025-03-13
Laundry,With economic everybody discussion sit join.,122.45,Living,Expense,2025-03-21
Books,Value measure message thousand.,178.33,Academic,Expense,2025-01-01
Laundry,Them lose loss care.,275.13,Living,Expense,2025-03-31
Movie,Account house class owner finish.,451.37,Leisure and Entertainment,Expense,2025-03-22
Online Course,Us through example stay.,364.04,Academic,Expense,2025-01-05
Movie,Cause bit personal run cost.,431.75,Leisure and Entertainment,Expense,2025-02-07
Netflix Subscription,Minute east nor enough throughout.,455.11,Leisure and Entertainment,Expense,2025-02-16
Freelance Work,Party wear save air.,1249.83,Academic,Income,2025-03-25
Movie,Rich evening whose word maybe.,318.18,Leisure and Entertainment,Expense,2025-03-01
Gym,Shoulder something forget room feeling and.,107.89,Leisure and Entertainment,Expense,2025-01-31
Rent,View behavior loss.,460.32,Living,Expense,2025-02-13
Utilities,This third system.,274.52,Living,Expense,2025-03-01
Train Ticket,Yes light interview outside nice.,349.85,Transportation,Expense,2025-03-01
Movie,Glass peace law heart mother explain.,65.02,Leisure and Entertainment,Expense,2025-03-10
Grocery Refund,Practice hear later close once.,322.34,Food and Dining,Income,2025-02-04
Tuition,Rich one enter success step.,51.81,Academic,Expense,2025-03-31
Concert,Figure customer wait happy scientist.,143.64,Leisure and Entertainment,Expense,2025-01-09
Groceries,Political do impact.,389.57,Living,Expense,2025-02-21
Snacks,Very fight bank morning.,1390.42,Food and Dining,Income,2025-02-19
Movie,Anyone everyone defense.,157.69,Leisure and Entertainment,Expense,2025-01-19
Cafeteria,Human recently live study law maybe.,492.83,Food and Dining,Expense,2025-02-26
Bus Fare,Without include yes.,1725.97,Transportation,Income,2025-03-12
Restaurant,Only include partner full.,38.59,Food and Dining,Expense,2025-01-27
Netflix Subscription,Study though situation brother.,105.93,Leisure and Entertainment,Expense,2025-01-27
Movie,Easy eat trip poor.,159.23,Leisure and Entertainment,Expense,2025-02-16
Scholarship,Little range care mission take.,275.02,Academic,Expense,2025-01-08
Tuition,Specific identify other pressure this bit.,277.92,Academic,Expense,2025-03-31
Tuition,Tonight west including outside beautiful among.,226.29,Academic,Expense,2025-03-28
Movie,Move cause station mission former participant.,172.97,Leisure and Entertainment,Expense,2025-02-17
Bus Fare,Significant color arrive example more.,187.07,Transportation,Expense,2025-01-02
Train Ticket,Finally blue order Republican them city.,88.02,Transportation,Expense,2025-03-09
Video Game,Couple win recognize early similar.,82.94,Leisure and Entertainment,Expense,2025-02-17
Laundry,Artist Democrat beautiful health democratic environment.,998.33,Living,Income,2025-03-21
Concert,Mr capital about professor.,425.89,Leisure and Entertainment,Expense,2025-03-06
Netflix Subscription,Science turn rule by radio within.,392.23,Leisure and Entertainment,Expense,2025-02-02
Bus Fare,She water window machine list.,185.35,Transportation,Expense,2025-03-08
Netflix Subscription,Inside Republican defense church show camera.,2097.51,Leisure and Entertainment,Income,2025-03-21
Coffee,Price baby prepare.,314.97,Living,Expense,2025-02-15
Coffee,Certainly music action.,274.25,Living,Expense,2025-02-20
Freelance Work,Her respond fall southern.,124.68,Academic,Expense,2025-02-21
Gym,Let bring record myself.,350.84,Leisure and Entertainment,Expense,2025-02-03
Snacks,Thousand look impact minute when cell.,173.07,Food and Dining,Expense,2025-03-12
Gas,Everybody couple public partner.,398.94,Transportation,Expense,2025-03-08
Scholarship,Possible fast join current carry show.,212.24,Academic,Expense,2025-02-15
Books,Why exactly drug commercial why reveal.,375.68,Academic,Expense,2025-01-19
Fast Food,Perhaps personal federal need.,424.97,Food and Dining,Expense,2025-03-06
Utilities,Stuff phone really interest when.,233.4,Living,Expense,2025-02-24
Bus Fare,Will hand business general.,60.6,Transportation,Expense,2025-01-27
Movie,Three born interest agency event someone.,308.38,Leisure and Entertainment,Expense,2025-01-24
Snacks,Check opportunity dark director relate.,141.93,Food and Dining,Expense,2025-02-12
Bike Repair,Walk station site hard.,30.67,Transportation,Expense,2025-02-28
Electric Bill,We picture establish discover.,191.94,Living,Expense,2025-03-23
Grocery Refund,Eat number law human determine.,84.03,Food and Dining,Expense,2025-01-25
