Age_Group,Sex,Year_Level,In_relationship,Personality,Home_Region,Living_Situation,Dorm_Area,Roommates,Degree_Program,In_Organization,Hours_of_Study_per_Week,Monthly_Allowance,Family_Monthly_Income,Have_Scholarship,Have_Job,Meal_Preferences,Frequency_of_Going_Home,Have_Health_Concern,Preferred_Payment_Method,Living_Expenses,Food_and_Dining_Expenses,Transportation_Expenses,Leisure_and_Entertainment_Expenses,Academic_Expenses
21-23,Female,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,With family,BS Computer Science,Yes,31-40 hours,8000,"P12,031 - P24,060",Yes,Yes,A combination of the above,Sometimes,No,Combination of the three,3750,3000,250,750,250
21-23,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,With family,Doctor of Veterinary Medicine,Yes,10-20 hours,14150,"P84,211 - P144,360",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,Yes,Cash,4500,6000,150,3000,500
21-23,Male,Junior,No,Extrovert,Central Luzon,Outside Campus,Umali,With family,BS Applied Mathematics,Yes,21-30 hours,7000,"P48,121 - P84,210",Yes,No,I cook my meals,Rarely,No,Cash,2675,3000,500,0,300
21-23,Male,Junior,No,Introvert,Central Luzon,Outside Campus,Demarces,With family,BS Electrical Engineering,Yes,21-30 hours,34000,"P84,211 - P144,360",Yes,No,A combination of the above,Often,Yes,Combination of the three,8000,15000,1000,5000,5000
21-23,Female,Senior,No,Ambivert,Central Luzon,Inside campus,Kanan,With family,BS Mechanical Engineering,Yes,21-30 hours,21000,"P24,061 - P48,120",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Online Payment ,5000,10000,1000,5000,0
21-23,Female,Junior,No,Extrovert,Metro Manila,Outside Campus,Junction,With family,BS Nutrition,Yes,31-40 hours,7000,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,Yes,Cash,3500,2000,500,500,500
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Raymundo,With family,BS Computer Science,Yes,21-30 hours,12000,"P12,031 - P24,060",No,No,A combination of the above,Often,Yes,Cash,2000,5000,350,2000,500
18-20,Male,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Civil Engineering,Yes,More then 40 hours,8500,"P24,061 - P48,120",Yes,No,A combination of the above,Sometimes,No,Combination of the three,4000,2000,1000,500,1000
18-20,Male,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 2-3 roommates,BS Human Ecology,No,31-40 hours,8800,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,5000,3600,0,0,200
21-23,Female,Junior,Yes,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Applied Mathematics,Yes,10-20 hours,10000,"P144,361 - P240,600",Yes,No,I cook my meals,Often,No,Combination of the three,5000,3500,500,500,500
24-26,Female,Senior,Yes,Introvert,Metro Manila,Outside Campus,Demarces,I live with 1 roommate,BS Mathematics,Yes,Less then 10 hours,14800,"P84,211 - P144,360",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,Yes,Combination of the three,7000,5000,2500,300,0
21-23,Male,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Biology,Yes,More then 40 hours,"4,900","P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Combination of the three,900,2500,0,1000,500
18-20,Female,Freshman,No,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Applied Mathematics,No,10-20 hours,10000,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,4000,3200,1200,1400,200
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 2-3 roommates,BS Development Communication,No,10-20 hours,13200,"P48,121 - P84,210",No,No,A combination of the above,Often,No,Combination of the three,3000,7000,1000,2000,200
18-20,Female,Freshman,No,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Agribusiness Management and Entrepreneurship,No,21-30 hours,"8,500","P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Cash,3200,4000,800,200,300
21-23,Female,Sophomore,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Lopez Ave,With family,Doctor of Veterinary Medicine,Yes,10-20 hours,5300,"P48,121 - P84,210",No,No,A combination of the above,Always,Yes,Online Payment ,0,1500,2000,800,1000
21-23,Female,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,With family,BS Computer Science,Yes,21-30 hours,9200,"P84,211 - P144,360",Yes,No,A combination of the above,Rarely,No,Online Payment ,2900,5000,500,500,300
21-23,Female,Junior,No,Introvert,Metro Manila,Outside Campus,Junction,With family,Doctor of Veterinary Medicine,Yes,10-20 hours,17800,"P84,211 - P144,360",No,No,A combination of the above,Rarely,Yes,Combination of the three,8000,7000,800,1500,500
21-23,Male,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,With family,BS Civil Engineering,Yes,10-20 hours,6000,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,3300,200,300,0,200
21-23,Male,Junior,No,Introvert,Metro Manila,Outside Campus,Kaliwa,With family,BS Computer Science,No,Less then 10 hours,9100,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3000,4000,1400,300,400
21-23,Male,Senior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,With family,BS Computer Science,Yes,21-30 hours,18800,"P144,361 - P240,600",Yes,No,A combination of the above,Often,No,Combination of the three,11000,600,200,6000,1000
18-20,Female,Freshman,No,Ambivert,Central Luzon,Inside campus,Kaliwa,With family,BS Applied Mathematics,Yes,21-30 hours,15300,"P48,121 - P84,210",Yes,No,A combination of the above,Often,No,Combination of the three,3800,10000,500,500,500
18-20,Female,Freshman,No,Ambivert,Central Luzon,Inside campus,Lopez Ave,With family,BS Applied Mathematics,Yes,10-20 hours,13700,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Cash,5500,6000,1200,500,500
21-23,Female,Senior,Yes,Ambivert,Metro Manila,With family,Others,With family,BS Biology,Yes,10-20 hours,8400,"More than P240,601",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,0,7500,300,500,100
21-23,Male,Freshman,Yes,Ambivert,Metro Manila,With family,Raymundo,With family,BS Applied Mathematics,Yes,Less then 10 hours,5600,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Cash,0,4000,1000,500,100
21-23,Male,Senior,Yes,Ambivert,Metro Manila,Inside campus,Kanan,With family,BS Applied Mathematics,Yes,10-20 hours,14800,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,5500,8400,300,500,100
21-23,Male,Senior,No,Introvert,Metro Manila,Inside campus,UP Dorm,With family,BS Applied Mathematics,Yes,31-40 hours,7260,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Online Payment ,560,4000,1000,1500,200
18-20,Male,Junior,Yes,Introvert,Central Luzon,Outside Campus,Agapita,With family,BS Applied Mathematics,Yes,21-30 hours,10500,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Combination of the three,3000,6000,500,500,500
18-20,Male,Sophomore,No,Ambivert,Central Luzon,Outside Campus,Umali,I live with 2-3 roommates,BS Applied Mathematics,Yes,10-20 hours,19100,"P144,361 - P240,600",Yes,No,A combination of the above,Rarely,No,Combination of the three,2800,12000,300,3000,1000
21-23,Male,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,BS Mathematics,Yes,More then 40 hours,12000,"P24,061 - P48,120",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,3000,4000,1000,2000,2000
21-23,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 1 roommate,BS Mathematics,Yes,10-20 hours,24500,"P144,361 - P240,600",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,9000,5000,4500,5000,1000
21-23,Female,Sophomore,Yes,Introvert,Metro Manila,Outside Campus,Umali,I live with 2-3 roommates,BS Applied Mathematics,Yes,Less then 10 hours,15000,"P84,211 - P144,360",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,Yes,Cash,3000,500,300,1000,200
21-23,Male,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with 1 roommate,BS Applied Mathematics,Yes,10-20 hours,11000,"Less than P12,030",Yes,Yes,A combination of the above,Rarely,Yes,Cash,5000,4000,1000,500,500
21-23,Male,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Applied Mathematics,Yes,10-20 hours,8000,"P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Cash,1200,4000,800,1000,200
21-23,Male,Junior,Yes,Ambivert,Metro Manila,Outside Campus,Demarces,I live with more than 3 roommates,BS Applied Mathematics,Yes,10-20 hours,7000,"P12,031 - P24,060",No,No,I cook my meals,Sometimes,No,Combination of the three,2500,3000,400,500,500
21-23,Female,Sophomore,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 2-3 roommates,BA Communication Arts,Yes,10-20 hours,10900,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,3250,4500,1750,1250,150
24-26,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Computer Science,Yes,10-20 hours,15700,"P144,361 - P240,600",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,4700,8000,500,800,500
18-20,Female,Sophomore,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Applied Mathematics,Yes,21-30 hours,6000,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Cash,1100,3000,400,1000,200
24-26,Male,Sophomore,No,Extrovert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Mathematics,Yes,10-20 hours,7500,"P12,031 - P24,060",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,1000,4000,500,1000,200
21-23,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 1 roommate,BS Applied Mathematics,Yes,21-30 hours,11000,"P24,061 - P48,120",No,No,I cook my meals,Often,No,Cash,4500,4000,1000,1000,500
21-23,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Umali,With family,BS Applied Mathematics,Yes,21-30 hours,11000,"P24,061 - P48,120",Yes,No,A combination of the above,Always,Yes,Online Payment ,0,9000,1200,500,300
24-26,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,With family,BS Agricultural Biotechnology,Yes,10-20 hours,12000,"P24,061 - P48,120",No,No,A combination of the above,Always,Yes,Combination of the three,1000,7000,2800,500,700
18-20,Male,Sophomore,No,Introvert,Metro Manila,Inside campus,UP Dorm,With family,BS Applied Mathematics,Yes,21-30 hours,5500,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Cash,700,4000,400,300,100
18-20,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Mathematics,Yes,21-30 hours,9700,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,1000,6000,500,2000,200
21-23,Male,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 1 roommate,BS Applied Mathematics,Yes,10-20 hours,7500,"P12,031 - P24,060",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3750,3000,400,0,200
21-23,Female,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Kanan,With family,BS Mathematics,Yes,10-20 hours,6500,"P24,061 - P48,120",No,No,I cook my meals,Always,No,Combination of the three,0,3000,1000,1500,1000
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,With family,BS Applied Mathematics,No,Less then 10 hours,10000,"More than P240,601",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,2000,5400,192,0,200
18-20,Female,Junior,Yes,Extrovert,Metro Manila,Inside campus,UP Dorm,With family,BS Applied Mathematics,Yes,Less then 10 hours,5300,"Less than P12,030",Yes,No,A combination of the above,Often,No,Cash,1000,3500,400,200,200
21-23,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Applied Mathematics,Yes,21-30 hours,5000,"P84,211 - P144,360",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,1000,3000,300,500,200
21-23,Male,Senior,No,Extrovert,Metro Manila,Outside Campus,Umali,I live with 2-3 roommates,BS Mathematics,Yes,10-20 hours,7500,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,3000,3000,0,1000,500
21-23,Male,Senior,No,Extrovert,Northern Luzon (Ilocos & Cagayan Valley),Outside Campus,Umali,I live alone,BS Applied Mathematics,Yes,10-20 hours,174000,"P48,121 - P84,210",Yes,Yes,A combination of the above,Rarely,No,Combination of the three,10000,150000,10000,2000,2000
18-20,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 2-3 roommates,BS Mathematics,Yes,21-30 hours,8800,"P12,031 - P24,060",No,Yes,I cook my meals,Often,Yes,Online Payment ,4000,3500,800,0,500
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Kaliwa,With family,BS Computer Science,No,10-20 hours,8000,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,0,2500,500,500,500
21-23,Male,Junior,Yes,Ambivert,Metro Manila,Inside campus,Kaliwa,I live with 1 roommate,BS Applied Mathematics,Yes,21-30 hours,12750,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Cash,6000,5000,750,500,500
18-20,Female,Junior,No,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Mathematics,Yes,Less then 10 hours,10000,"Less than P12,030",Yes,No,A combination of the above,Rarely,No,Combination of the three,1500,6000,1000,1000,500
21-23,Male,Freshman,No,Ambivert,Metro Manila,With family,UP Dorm,With family,BS Development Communication,Yes,10-20 hours,6000,"Less than P12,030",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,0,2500,1000,1000,500
21-23,Female,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Applied Mathematics,Yes,21-30 hours,20000,"More than P240,601",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,5500,300,500,1000,200
21-23,Female,Junior,Yes,Ambivert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Applied Mathematics,Yes,10-20 hours,6900,"P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Combination of the three,1000,3000,600,2000,300
18-20,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live alone,BS Applied Mathematics,Yes,Less then 10 hours,"21,600","More than P240,601",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,13900,4200,1200,2000,300
21-23,Female,Senior,Yes,Extrovert,Central Luzon,Outside Campus,Umali,I live alone,BS Applied Mathematics,Yes,10-20 hours,10600,"P48,121 - P84,210",Yes,Yes,A combination of the above,Sometimes,Yes,Combination of the three,3000,5600,500,1000,500
21-23,Male,Senior,Yes,Ambivert,Metro Manila,Outside Campus,Umali,I live alone,BS Mathematics,Yes,21-30 hours,10500,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,8000,1500,500,500,0
18-20,Female,Junior,Yes,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Mathematics,Yes,21-30 hours,7000,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Online Payment ,3200,2000,500,800,500
21-23,Female,Senior,No,Introvert,Central Luzon,Inside campus,Raymundo,I live with 2-3 roommates,BS Mathematics,Yes,31-40 hours,10000,"P24,061 - P48,120",Yes,No,A combination of the above,Often,Yes,Combination of the three,4000,3000,500,1000,500
21-23,Female,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 1 roommate,BS Economics,Yes,21-30 hours,"24,000","P48,121 - P84,210",No,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Cash,5000,6000,4000,2000,2000
18-20,Male,Junior,No,Introvert,Central Luzon,Inside campus,Kaliwa,I live with more than 3 roommates,BS Development Communication,Yes,31-40 hours,16000,"More than P240,601",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,5000,5000,1000,3000,2000
18-20,Male,Junior,No,Ambivert,Central Luzon,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,31-40 hours,14000,"P12,031 - P24,060",Yes,No,A combination of the above,Rarely,No,Cash,4500,2000,1000,2500,1000
21-23,Male,Senior,No,Ambivert,Metro Manila,Outside Campus,Anos,I live with more than 3 roommates,BS Electrical Engineering,Yes,21-30 hours,12500,"P24,061 - P48,120",No,No,A combination of the above,Rarely,No,Online Payment ,3000,7000,1000,1000,500
21-23,Male,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Raymundo,With family,BS Applied Mathematics,Yes,10-20 hours,10000,"P48,121 - P84,210",No,No,A combination of the above,Sometimes,No,Online Payment ,0,4000,1000,5000,0
21-23,Male,Senior,No,Introvert,Metro Manila,Inside campus,Umali,With family,Doctor of Veterinary Medicine,Yes,31-40 hours,6750,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Cash,3000,1500,750,1000,500
21-23,Female,Junior,No,Introvert,Metro Manila,Inside campus,Kanan,With family,BS Applied Mathematics,Yes,21-30 hours,9550,"P48,121 - P84,210",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Combination of the three,7000,500,50,1000,1000
21-23,Female,Senior,Yes,Introvert,Metro Manila,Inside campus,Demarces,With family,BS Mathematics,Yes,10-20 hours,16100,"P84,211 - P144,360",No,No,A combination of the above,Often,No,Cash,3500,10000,500,2000,100
21-23,Female,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,With family,BS Economics,Yes,31-40 hours,8000,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Combination of the three,3000,3000,200,1000,500
18-20,Female,Junior,Yes,Introvert,Metro Manila,Inside campus,Kaliwa,With family,BS Applied Mathematics,Yes,31-40 hours,9300,"P48,121 - P84,210",No,No,A combination of the above,Often,No,Combination of the three,6000,2000,300,500,500
21-23,Female,Senior,Yes,Ambivert,Metro Manila,Outside Campus,Raymundo,With family,BS Mathematics,Yes,10-20 hours,5900,"P12,031 - P24,060",Yes,Yes,A combination of the above,Always,No,Combination of the three,3500,1000,400,500,500
21-23,Male,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Lopez Ave,With family,BS Agriculture,Yes,10-20 hours,5500,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,3000,350,70,500,500
24-26,Female,Senior,No,Ambivert,Metro Manila,Outside Campus,Umali,With family,BS Development Communication,Yes,10-20 hours,9700,"Less than P12,030",Yes,No,I cook my meals,Rarely,Yes,Combination of the three,5000,2000,1000,700,1000
21-23,Female,Senior,No,Ambivert,Northern Luzon (Ilocos & Cagayan Valley),Inside campus,Kanan,With family,BS Mathematics and Science Teaching,Yes,21-30 hours,9100,"P84,211 - P144,360",Yes,Yes,A combination of the above,Rarely,No,Combination of the three,2800,4500,100,1000,700
21-23,Female,Senior,No,Extrovert,Central Luzon,With family,Raymundo,With family,BS Mathematics,Yes,31-40 hours,8000,"P48,121 - P84,210",Yes,No,A combination of the above,Always,No,Combination of the three,0,2500,1100,500,50
21-23,Female,Senior,No,Introvert,Central Luzon,Inside campus,Kaliwa,With family,BS Agricultural and Applied Economics,Yes,21-30 hours,15000,"P24,061 - P48,120",No,No,A combination of the above,Rarely,No,Cash,5000,3000,2000,3000,2000
21-23,Male,Senior,No,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Applied Mathematics,Yes,21-30 hours,11800,"P12,031 - P24,060",No,No,A combination of the above,Always,No,Cash,5300,5000,1000,0,500
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with more than 3 roommates,BS Applied Mathematics,No,21-30 hours,10068,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Online Payment ,3000,6000,568,300,200
21-23,Male,Senior,Yes,Extrovert,Metro Manila,Inside campus,Kaliwa,I live with 1 roommate,BS Applied Mathematics,Yes,31-40 hours,10000,"P48,121 - P84,210",No,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4000,4000,1200,500,300
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Computer Science,No,31-40 hours,15500,"P144,361 - P240,600",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,5000,7000,1000,2000,500
21-23,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Kanan,With family,BS Applied Mathematics,Yes,10-20 hours,8000,"P24,061 - P48,120",Yes,No,I cook my meals,Always,No,Cash,0,3000,1000,3000,1000
18-20,Male,Freshman,No,Ambivert,Central Luzon,Inside campus,Scholar's Dorm,I live with more than 3 roommates,BS Statistics,No,10-20 hours,10000,"P24,061 - P48,120",No,No,A combination of the above,Always,No,Combination of the three,4900,400,500,0,0
18-20,Female,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Junction,I live alone,BS Nutrition,No,31-40 hours,12300,"P24,061 - P48,120",Yes,No,A combination of the above,Always,Yes,Cash,3000,6000,800,1500,1000
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,Yes,21-30 hours,7652,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Combination of the three,1000,4000,552,2000,100
21-23,Male,Senior,No,Ambivert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,10-20 hours,5200,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,4000,500,200,0,500
21-23,Female,Senior,No,Introvert,Metro Manila,With family,Raymundo,With family,BS Nutrition,Yes,Less then 10 hours,"11,000","P84,211 - P144,360",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,0,4000,2000,1500,1000
21-23,Male,Senior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Mathematics and Science Teaching,Yes,31-40 hours,8800,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,3000,4500,300,500,500
18-20,Male,Junior,No,Ambivert,Central Luzon,Outside Campus,Junction,I live with 1 roommate,BS Food Science and Technology,Yes,10-20 hours,15000,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,No,Cash,4000,6500,500,1000,1000
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,BS Development Communication,No,10-20 hours,12600,"P12,031 - P24,060",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,4000,5500,1600,1000,500
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 2-3 roommates,BS Computer Science,Yes,10-20 hours,8000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4000,2000,0,500,500
21-23,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Raymundo,With family,BS Computer Science,Yes,21-30 hours,10000,"P84,211 - P144,360",No,No,A combination of the above,Always,No,Combination of the three,0,5000,1000,1000,500
24-26,Male,Senior,No,Introvert,Metro Manila,Outside Campus,Demarces,I live with more than 3 roommates,BS Mathematics and Science Teaching,Yes,10-20 hours,28000,"P48,121 - P84,210",No,Yes,A combination of the above,Rarely,No,Combination of the three,7000,6000,1000,3000,1000
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Computer Science,Yes,21-30 hours,8450,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,6000,2000,150,200,100
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Food Science and Technology,Yes,31-40 hours,14900,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,3000,9000,400,1500,1000
21-23,Male,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 2-3 roommates,BS Computer Science,Yes,21-30 hours,13050,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Online Payment ,2550,7500,1000,1000,1000
21-23,Male,Senior,No,Ambivert,Metro Manila,Outside Campus,Demarces,I live alone,BS Computer Science,Yes,Less then 10 hours,34750,"P144,361 - P240,600",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Online Payment ,10750,14000,500,1500,200
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with 2-3 roommates,BS Chemical Engineering,Yes,Less then 10 hours,15000,"P24,061 - P48,120",No,Yes,A combination of the above,Often,Yes,Combination of the three,4000,6000,3000,1000,500
18-20,Female,Senior,Yes,Introvert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BA Communication Arts,Yes,Less then 10 hours,6410,"Less than P12,030",Yes,Yes,A combination of the above,Rarely,No,Combination of the three,1000,4500,210,500,200
24-26,Female,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Junction,With family,BS Forestry,Yes,21-30 hours,12600,"P12,031 - P24,060",Yes,Yes,I cook my meals,Not at all,No,Cash,0,10000,600,1000,1000
21-23,Male,Junior,No,Ambivert,Metro Manila,Outside Campus,Junction,I live with 1 roommate,BS Nutrition,Yes,10-20 hours,8000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Online Payment ,5000,2000,500,0,500
